Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,Industry and Commerce,Value in Millions (VT),25.005388
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,Tourism Development,Value in Millions (VT),0.00275
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Contribution to Sport & Youth Development,Value in Millions (VT),-0.052242
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Executive Management & Support Services,Value in Millions (VT),4.295942
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Provincial Grants Youth Development,Value in Millions (VT),20.38446
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Vanuatu National Sports Commission,Value in Millions (VT),11.734354
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Vanuatu National Youth Council,Value in Millions (VT),9.9511
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Youth and Sports Development,Value in Millions (VT),10.034958
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,Cabinet Support Services,Value in Millions (VT),4.095022
2021,By Ministry,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Value in Millions (VT),16.888006
2021,By Ministry,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),Government Remuneration Tribunal,Value in Millions (VT),1.723038
2021,By Ministry,Actual,Prime Ministers Ministry,Language Services Department,Language Services,Value in Millions (VT),1.323257
2021,By Ministry,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),"Information, Communication and Technology Policy and Administration",Value in Millions (VT),139.115883
2021,By Ministry,Actual,Prime Ministers Ministry,Parliamentary Secretariat,Parliamentary Secretariat,Value in Millions (VT),-1.122869
2021,By Ministry,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,Corporate Services,Value in Millions (VT),47.541574
2021,By Ministry,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,Administration & Coordination of Government Programmes,Value in Millions (VT),37.310194
2021,By Ministry,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),Strategic Management,Value in Millions (VT),15.279696
2021,By Ministry,Budget,Constitutional Agencies,Citizenship Office,Citizenship Commission,Value in Millions (VT),18.516926
2021,By Ministry,Budget,Constitutional Agencies,Judicial Services Commission,Administrative Support Services,Value in Millions (VT),1.02283
2021,By Ministry,Budget,Constitutional Agencies,Judicial Services Commission,Decision Making,Value in Millions (VT),0.891684
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Case Management,Value in Millions (VT),0.8
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Corporate Services,Value in Millions (VT),20.26706
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Court of Appeal,Value in Millions (VT),31.069044
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Enforcement,Value in Millions (VT),0.136752
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Island Courts,Value in Millions (VT),7.273426
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Judicial Development & Training,Value in Millions (VT),1.29508
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Land Courts,Value in Millions (VT),5.241792
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Magistrate Courts,Value in Millions (VT),2.999158
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,Supreme Court,Value in Millions (VT),29.923736
2021,By Ministry,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,Administration of the National Council of Chiefs,Value in Millions (VT),25.429548
2021,By Ministry,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,Funds for 14 Islands Council of Chiefs,Value in Millions (VT),5.38727
2021,By Ministry,Budget,Constitutional Agencies,National Audit Office,Audit Operations,Value in Millions (VT),13.048509
2021,By Ministry,Budget,Constitutional Agencies,National Audit Office,Corporate Services,Value in Millions (VT),9.541321
2021,By Ministry,Budget,Constitutional Agencies,National Audit Office,"Planning, Policy & Standards",Value in Millions (VT),5.53
2021,By Ministry,Budget,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations",Value in Millions (VT),7.835751
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Economic Policy,Value in Millions (VT),9.509641
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Institutions,Value in Millions (VT),9.749471
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Social Policy,Value in Millions (VT),9.09265
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on the Public Accounts,Value in Millions (VT),9.798008
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Financial Management,Value in Millions (VT),6.471319
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Inter-Parliamentary Relations,Value in Millions (VT),9.925007
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Library and Archives,Value in Millions (VT),9.993446
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Members Allocation,Value in Millions (VT),156.0
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Office of the Leader of the Opposition,Value in Millions (VT),8.803463
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Parliamentary Reporting,Value in Millions (VT),10.254231
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Personnel Administration and Maintenance,Value in Millions (VT),10.737814
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Procedure and Legislative Affairs,Value in Millions (VT),428.218237
2021,By Ministry,Budget,Constitutional Agencies,Parliament,Security and Protocol,Value in Millions (VT),5.961494
2021,By Ministry,Budget,Constitutional Agencies,President of the Republic,Management of the State House and President,Value in Millions (VT),32.002143
2021,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Corporate Services,Value in Millions (VT),9.303256
2021,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Institute Criminal Proceedings,Value in Millions (VT),14.824966
2021,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Planning and Management,Value in Millions (VT),1.52
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Corporate Services Unit,Value in Millions (VT),41.953044
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Government employee Entitlements,Value in Millions (VT),57.0134
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Human Resource Development,Value in Millions (VT),5.84
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Human Resource Management,Value in Millions (VT),1.9595
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Performance Improvement,Value in Millions (VT),6.32
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Public Service Legal Unit,Value in Millions (VT),6.875
2021,By Ministry,Budget,Constitutional Agencies,Public Solicitor,Representation,Value in Millions (VT),10.56539
2021,By Ministry,Budget,Constitutional Agencies,State Law Office,Provision of Legal Advice and Services,Value in Millions (VT),25.223363
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",Community Capacity Building with focus on gender and youth SHEFA,Value in Millions (VT),11.004357
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet","Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),96.499963
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,"Supporting institutional capacity, policy, communication and administration",Value in Millions (VT),29.000004
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Advancing Research and Development SHEFA,Value in Millions (VT),3.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Community Capacity Building with focus on gender and youth SHEFA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security,Value in Millions (VT),20.000002
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security MALAMPA,Value in Millions (VT),1.25
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security PENAMA,Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security SANMA,Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security SHEFA,Value in Millions (VT),8.65
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security TAFEA,Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security TORBA,Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve quality and safety of agriculture products SHEFA,Value in Millions (VT),6.000002
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increase production of commodity crops,Value in Millions (VT),197.099978
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increase production of commodity crops MALAMPA,Value in Millions (VT),4.2
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increse production of commodity crops PENAMA,Value in Millions (VT),3.700004
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increse production of commodity crops SANMA,Value in Millions (VT),24.000004
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increse production of commodity crops SHEFA,Value in Millions (VT),36.4
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increse production of commodity crops TAFEA,Value in Millions (VT),8.481561
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Increse production of commodity crops TORBA,Value in Millions (VT),0.750002
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Resilience towards Climate Change and Natural Resources,Value in Millions (VT),33.500005
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Resilience towards Climate Change and Natural Resources SHEFA,Value in Millions (VT),2.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,"Support institution capacity, policy, communication,admin SANMA",Value in Millions (VT),3.000003
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,"Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),49.580103
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Sustainable management of natural resources SANMA,Value in Millions (VT),1.5
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Sustainable management of natural resources SHEFA,Value in Millions (VT),3.500001
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security,Value in Millions (VT),24.45952
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security MALAMPA,Value in Millions (VT),0.2
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security PENAMA,Value in Millions (VT),0.35
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security SANMA,Value in Millions (VT),2.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security SHEFA,Value in Millions (VT),2.215
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security TAFEA,Value in Millions (VT),0.36555
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve food security TORBA,Value in Millions (VT),0.3
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products,Value in Millions (VT),15.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products PENAMA,Value in Millions (VT),0.250001
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products SANMA,Value in Millions (VT),1.950002
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products SHEFA,Value in Millions (VT),1.8
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Increse production of commodity crops SANMA,Value in Millions (VT),2.5
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Increse production of commodity crops SHEFA,Value in Millions (VT),2.5
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,"Support institution capacity, policy, communication,admin MALAMPA",Value in Millions (VT),0.45
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,"Support institution capacity, policy, communication,admin SANMA",Value in Millions (VT),1.87
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,"Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),12.541906
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,"Support institution capacity, policy, communication,admin TAFEA",Value in Millions (VT),1.075
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,"Support institution capacity, policy, communication,admin TORBA",Value in Millions (VT),0.525
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Sustainable management of natural resources SANMA,Value in Millions (VT),3.040001
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Sustainable management of natural resources SHEFA,Value in Millions (VT),2.99
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,"Supporting institutional capacity, policy, communication and administration",Value in Millions (VT),99.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Advancing Research and Development,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Advancing Research and Development MALAMPA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Advancing Research and Development SHEFA,Value in Millions (VT),8.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Advancing Research and Development TORBA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security,Value in Millions (VT),1.080475
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security MALAMPA,Value in Millions (VT),0.1
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security PENAMA,Value in Millions (VT),0.1
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security SANMA,Value in Millions (VT),0.3
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security SHEFA,Value in Millions (VT),0.2
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security TAFEA,Value in Millions (VT),0.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve food security TORBA,Value in Millions (VT),0.3
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products,Value in Millions (VT),90.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products MALAMPA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products PENAMA,Value in Millions (VT),0.999999
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products SANMA,Value in Millions (VT),1.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products SHEFA,Value in Millions (VT),1.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products TAFEA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Improve quality and safety of agriculture products TORBA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increase production of commodity crops,Value in Millions (VT),40.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increase production of commodity crops MALAMPA,Value in Millions (VT),1.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increse production of commodity crops PENAMA,Value in Millions (VT),1.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increse production of commodity crops SANMA,Value in Millions (VT),25.999996
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increse production of commodity crops SHEFA,Value in Millions (VT),0.999999
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increse production of commodity crops TAFEA,Value in Millions (VT),0.999999
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Increse production of commodity crops TORBA,Value in Millions (VT),1.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,"Support institution capacity, policy, communication,admin SANMA",Value in Millions (VT),2.999997
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,"Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),12.999998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources,Value in Millions (VT),7.999995
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources MALAMPA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources SANMA,Value in Millions (VT),0.999999
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources SHEFA,Value in Millions (VT),0.999999
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources TORBA,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Advancing Research and Development SHEFA,Value in Millions (VT),2.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth MALAMPA,Value in Millions (VT),0.48
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth PENAMA,Value in Millions (VT),0.48
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth SANMA,Value in Millions (VT),0.48
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth SHEFA,Value in Millions (VT),1.1
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth TAFEA,Value in Millions (VT),0.48
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Community Capacity Building with focus on gender and youth TORBA,Value in Millions (VT),0.48
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increase production of commodity crops,Value in Millions (VT),82.376791
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increase production of commodity crops MALAMPA,Value in Millions (VT),1.490002
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increse production of commodity crops PENAMA,Value in Millions (VT),0.329998
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increse production of commodity crops SANMA,Value in Millions (VT),5.191368
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increse production of commodity crops SHEFA,Value in Millions (VT),2.640001
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increse production of commodity crops TAFEA,Value in Millions (VT),2.190001
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Increse production of commodity crops TORBA,Value in Millions (VT),0.45
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources,Value in Millions (VT),0.074995
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources MALAMPA,Value in Millions (VT),0.75
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources PENAMA,Value in Millions (VT),0.75
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources SANMA,Value in Millions (VT),1.25
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources SHEFA,Value in Millions (VT),0.75
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources TAFEA,Value in Millions (VT),0.75
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources TORBA,Value in Millions (VT),0.675
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin MALAMPA",Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin PENAMA",Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin SANMA",Value in Millions (VT),2.25
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),5.37241
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin TAFEA",Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,"Support institution capacity, policy, communication,admin TORBA",Value in Millions (VT),1.15
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources,Value in Millions (VT),28.607005
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources MALAMPA,Value in Millions (VT),2.1
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources PENAMA,Value in Millions (VT),1.14
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources SANMA,Value in Millions (VT),2.18
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources SHEFA,Value in Millions (VT),3.87759
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources TAFEA,Value in Millions (VT),2.1
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Sustainable management of natural resources TORBA,Value in Millions (VT),1.38
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Supporting institutional capacity, policy, communication and administration",Value in Millions (VT),2.999991
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Improve food security,Value in Millions (VT),73.946964
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Improve food security SANMA,Value in Millions (VT),1.2
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Improve food security SHEFA,Value in Millions (VT),1.125006
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Increase production of commodity crops,Value in Millions (VT),207.666684
