Year,Series,Region,Age,Sex,Value
2009,Population 15+ drinking kava,Penama,,,5938
2009,Population 15+ drinking kava,Malampa,,,6149
2009,Population 15+ drinking kava,Shefa,,,6664
2009,Population 15+ drinking kava,Tafea,,,4763
2009,Population 15+ drinking kava,Port Vila,,Male,7593
2009,Population 15+ drinking kava,Luganville,,Male,1936
2009,Population 15+ drinking kava,Torba,,Male,1657
2009,Population 15+ drinking kava,Sanma,,Male,5131
2009,Population 15+ drinking kava,Penama,,Male,5423
2009,Population 15+ drinking kava,Malampa,,Male,5533
2009,Population 15+ drinking kava,Shefa,,Male,5386
2009,Population 15+ drinking kava,Tafea,,Male,4573
2009,Population 15+ drinking kava,Port Vila,,Female,1900
2009,Population 15+ drinking kava,Luganville,,Female,452
2009,Population 15+ drinking kava,Torba,,Female,506
2009,Population 15+ drinking kava,Sanma,,Female,398
2009,Population 15+ drinking kava,Penama,,Female,515
2009,Population 15+ drinking kava,Malampa,,Female,616
2009,Population 15+ drinking kava,Shefa,,Female,1278
2009,Population 15+ drinking kava,Tafea,,Female,190
2020,Population 15+ drinking kava,,,,59347
2020,Population 15+ drinking kava,Port Vila,,,11132
2020,Population 15+ drinking kava,Luganville,,,3579
2020,Population 15+ drinking kava,Torba,,,3196
2020,Population 15+ drinking kava,Sanma,,,7847
2020,Population 15+ drinking kava,Penama,,,7306
2020,Population 15+ drinking kava,Malampa,,,8033
2020,Population 15+ drinking kava,Shefa,,,11319
2020,Population 15+ drinking kava,Tafea,,,6936
2020,Population 15+ drinking kava,Port Vila,,Male,8238
2020,Population 15+ drinking kava,Luganville,,Male,2812
2020,Population 15+ drinking kava,Torba,,Male,2249
2020,Population 15+ drinking kava,Sanma,,Male,7071
2020,Population 15+ drinking kava,Penama,,Male,6528
2020,Population 15+ drinking kava,Malampa,,Male,7116
2020,Population 15+ drinking kava,Shefa,,Male,8686
2020,Population 15+ drinking kava,Tafea,,Male,6549
2020,Population 15+ drinking kava,Port Vila,,Female,2893
2020,Population 15+ drinking kava,Luganville,,Female,766
2020,Population 15+ drinking kava,Torba,,Female,947
2020,Population 15+ drinking kava,Sanma,,Female,776
2020,Population 15+ drinking kava,Penama,,Female,778
2020,Population 15+ drinking kava,Malampa,,Female,917
2020,Population 15+ drinking kava,Shefa,,Female,2633
2020,Population 15+ drinking kava,Tafea,,Female,387
2009,Population 15+ drinking alcohol,,,,13780
2009,Population 15+ drinking alcohol,Port Vila,,,6174
2009,Population 15+ drinking alcohol,Luganville,,,644
2009,Population 15+ drinking alcohol,Torba,,,107
2009,Population 15+ drinking alcohol,Sanma,,,1051
2009,Population 15+ drinking alcohol,Penama,,,387
2009,Population 15+ drinking alcohol,Malampa,,,1401
2009,Population 15+ drinking alcohol,Shefa,,,2732
2009,Population 15+ drinking alcohol,Tafea,,,1282
2009,Population 15+ drinking alcohol,Port Vila,,Male,4925
2009,Population 15+ drinking alcohol,Luganville,,Male,544
2009,Population 15+ drinking alcohol,Torba,,Male,103
2009,Population 15+ drinking alcohol,Sanma,,Male,998
2009,Population 15+ drinking alcohol,Penama,,Male,353
2009,Population 15+ drinking alcohol,Malampa,,Male,1239
2009,Population 15+ drinking alcohol,Shefa,,Male,2348
2009,Population 15+ drinking alcohol,Tafea,,Male,1211
2009,Population 15+ drinking alcohol,Port Vila,,Female,1249
2009,Population 15+ drinking alcohol,Luganville,,Female,100
2009,Population 15+ drinking alcohol,Torba,,Female,4
2009,Population 15+ drinking alcohol,Sanma,,Female,53
2009,Population 15+ drinking alcohol,Penama,,Female,34
2009,Population 15+ drinking alcohol,Malampa,,Female,162
2009,Population 15+ drinking alcohol,Shefa,,Female,384
2009,Population 15+ drinking alcohol,Tafea,,Female,73
2020,Population 15+ drinking alcohol,,,,27282
2020,Population 15+ drinking alcohol,Port Vila,,,7218
2020,Population 15+ drinking alcohol,Luganville,,,1963
2020,Population 15+ drinking alcohol,Torba,,,653
2020,Population 15+ drinking alcohol,Sanma,,,3069
2020,Population 15+ drinking alcohol,Penama,,,1628
2020,Population 15+ drinking alcohol,Malampa,,,3514
2020,Population 15+ drinking alcohol,Shefa,,,6774
2020,Population 15+ drinking alcohol,Tafea,,,2464
2020,Population 15+ drinking alcohol,Port Vila,,Male,5436
2020,Population 15+ drinking alcohol,Luganville,,Male,1615
2020,Population 15+ drinking alcohol,Torba,,Male,569
2020,Population 15+ drinking alcohol,Sanma,,Male,2842
2020,Population 15+ drinking alcohol,Penama,,Male,1538
2020,Population 15+ drinking alcohol,Malampa,,Male,3164
2020,Population 15+ drinking alcohol,Shefa,,Male,5344
2020,Population 15+ drinking alcohol,Tafea,,Male,2201
2020,Population 15+ drinking alcohol,Port Vila,,Female,1781
2020,Population 15+ drinking alcohol,Luganville,,Female,348
2020,Population 15+ drinking alcohol,Torba,,Female,84
2020,Population 15+ drinking alcohol,Sanma,,Female,227
2020,Population 15+ drinking alcohol,Penama,,Female,90
2020,Population 15+ drinking alcohol,Malampa,,Female,351
2020,Population 15+ drinking alcohol,Shefa,,Female,1430
2020,Population 15+ drinking alcohol,Tafea,,Female,263
